10,2.6,10,2.1,10,2.7,10,1.8,10,3
100,1.125,100,1.44,100,0.66,100,1.685,100,0.815
1000,0.470666666666667,1000,0.940666666666667,1000,0.394666666666667,1000,1.01766666666667,1000,0.404333333333333
1500,0.419593317058181,1500,1.38304170390013,1500,0.360401063226061,1500,1.1036626618769,1500,0.375304077488758
2000,0.392756200853369,2000,2.17765364429961,2000,0.376094734561865,2000,1.87895899405555,2000,0.345498223735648
2500,0.37410901803908,2500,2.34577419838413,2500,0.400948809138171,2500,1.94400136057186,2500,0.424257048776855
5000,0.412276930662417,5000,1.70241986083106,5000,0.489055060700532,5000,1.48668412924509,3000,0.50396095073038
7500,0.472560270801298,7500,0.827617022978274,6000,0.439941801297099,7500,0.794310022677148,5000,0.375564007918839
10000,0.3842,10000,1.0333,7500,0.417782642206885,10000,0.870875,6000,0.289691949174576
12500,0.344649991216984,12500,1.1338106000013,9000,0.295659942029423,11000,0.765757627090403,6500,0.295070151834637
15000,0.436915739339611,15000,0.725702531865957,10000,0.413,12000,0.756360933048208,7000,0.296852917545983
17500,0.4327492253198,17500,0.777596474675253,11000,0.297917102790238,15000,0.690326548878761,7500,0.3147649160689
20000,0.454205155967162,20000,0.756562963587901,12500,0.393760174101444,20000,0.631186018869163,8000,0.426681169419689
25000,0.457614245767689,25000,0.75653601309688,15000,0.332176648915877,25000,0.619535508585239,9000,0.401650181654493
30000,0.439955324251469,30000,0.699422647242123,20000,0.311332402087394,,,10000,0.4083
30000,0.441412412412,35000,0.639452195115567,25000,0.304424343524473,,,,
35000,0.4451204102,40000,0.632722086519296,30000,0.296909537260955,,,,
40000,0.439955324251469,50000,0.602561837463802,35000,0.309603009709838,,,,
50000,0.451201293,,,40000,0.287393037572801,,,,
,,,,50000,0.280448693816723,,,,
