,,,
10,51.6129032258065,10,57.1428571428571
100,36.1623616236162,100,37.8378378378378
1000,33.7561305597835,1000,34.4197275392309
2000,33.5572724219012,2000,34.0781170049463
5000,33.4415041316784,5000,33.581964183718
6000,33.4122496727293,6000,33.4476509131465
10000,33.4202433480412,10000,33.3238892036932
12000,33.3824879663894,12000,33.2280847528043
15000,33.3811860804149,15000,33.1781076477225
20000,33.3438932888704,20000,33.0463379164463
30000,33.3492679347645,30000,33.0016008978231
40000,33.3420860685631,40000,32.9458817132995
50000,33.3451156276573,50000,32.8989670638486
70000,33.3359094396966,70000,32.8748522954983
