type, faces added, faces in hull, input vertices, points processed, distance queries, vertices in hull, time spent
QuickHull, 4, 4, 5, 4, 2, 4, 0.000497, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000756, In Sphere
QuickHull, 4, 4, 5, 4, 2, 4, 0.000468, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.001172, In Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.000840, In Sphere
QuickHull, 4, 4, 5, 4, 2, 4, 0.000411, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000853, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000970, In Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.000727, In Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.000695, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000559, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.001200, On Normalized Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.000917, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000980, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000805, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000986, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.001178, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000885, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.001089, On Normalized Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.001315, On Normalized Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.000916, On Normalized Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.001032, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000536, On Normalized Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.001312, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000489, On Normalized Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.000887, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000548, On Normalized Sphere
QuickHull, 1730, 338, 5000, 339, 13811, 171, 0.156886, In Sphere
QuickHull, 1901, 356, 5000, 380, 13805, 180, 0.160637, In Sphere
QuickHull, 1986, 370, 5000, 388, 13956, 187, 0.189996, In Sphere
QuickHull, 1806, 348, 5000, 366, 11943, 176, 0.158427, In Sphere
QuickHull, 1876, 344, 5000, 376, 12222, 174, 0.169125, In Sphere
QuickHull, 2187, 362, 5000, 429, 13561, 183, 0.201164, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000879, In Sphere
QuickHull, 4, 4, 5, 4, 2, 4, 0.000540, In Sphere
QuickHull, 2872, 506, 10000, 553, 24772, 255, 0.244864, In Sphere
QuickHull, 2872, 506, 10000, 553, 24772, 255, 0.247656, In Sphere
QuickHull, 11587, 1566, 100000, 2244, 237474, 785, 1.375921, In Sphere
QuickHull, 11587, 1566, 100000, 2244, 237474, 785, 1.670038, In Sphere
QuickHull, 3579, 372, 100000, 744, 263710, 188, 0.590485, In Cube
QuickHull, 60139, 20000, 10000, 10002, 79697, 10000, 7.313159, On Normalized Sphere
QuickHull, 60139, 20000, 10000, 10002, 79697, 10000, 0.480527, On Normalized Sphere
QuickHull, 245, 92, 100000, 53, 142695, 48, 0.150866, Many internal, some on sphere
QuickHull, 2872, 506, 10000, 553, 24772, 255, 0.269343, In Sphere
QuickHull, 15, 8, 10, 7, 13, 6, 0.000486, In Sphere
QuickHull, 11587, 1566, 100000, 2244, 237474, 785, 0.098479, In Sphere
QuickHull, 11587, 1566, 100000, 2244, 237474, 785, 1.613597, In Sphere
QuickHull, 11587, 1566, 100000, 2244, 237474, 785, 1.499511, In Sphere
QuickHull, 95, 40, 55, 25, 118, 22, 0.009550, In Sphere
QuickHull, 67, 28, 55, 21, 119, 16, 0.007070, In Sphere
QuickHull, 77, 38, 55, 22, 113, 21, 0.007789, In Sphere
QuickHull, 71, 26, 55, 22, 140, 15, 0.006780, In Sphere
QuickHull, 75, 36, 55, 22, 119, 20, 0.008628, In Sphere
QuickHull, 83, 34, 55, 24, 131, 19, 0.010056, In Sphere
QuickHull, 89, 34, 55, 24, 138, 19, 0.007478, In Sphere
QuickHull, 109, 34, 55, 29, 151, 19, 0.011279, In Sphere
QuickHull, 105, 38, 55, 27, 124, 21, 0.010476, In Sphere
QuickHull, 107, 38, 55, 28, 132, 21, 0.009354, In Sphere
QuickHull, 103, 38, 55, 26, 133, 21, 0.008795, In Sphere
QuickHull, 97, 34, 55, 26, 123, 19, 0.009606, In Sphere
QuickHull, 96, 36, 55, 27, 147, 20, 0.010176, In Sphere
QuickHull, 82, 32, 55, 23, 145, 18, 0.008984, In Sphere
QuickHull, 56, 26, 55, 17, 107, 15, 0.008119, In Sphere
QuickHull, 74, 36, 55, 21, 123, 20, 0.004371, In Sphere
QuickHull, 70, 30, 55, 21, 130, 17, 0.007611, In Sphere
QuickHull, 85, 32, 55, 25, 132, 18, 0.009571, In Sphere
QuickHull, 91, 38, 55, 25, 134, 21, 0.004864, In Sphere
QuickHull, 91, 40, 55, 25, 130, 22, 0.010897, In Sphere
QuickHull, 94, 38, 55, 26, 128, 21, 0.010496, In Sphere
QuickHull, 103, 38, 55, 28, 149, 21, 0.011268, In Sphere
QuickHull, 76, 34, 55, 22, 123, 19, 0.007825, In Sphere
QuickHull, 88, 34, 55, 25, 154, 19, 0.010340, In Sphere
QuickHull, 111, 34, 55, 30, 143, 19, 0.011178, In Sphere
QuickHull, 84, 30, 55, 23, 116, 17, 0.008581, In Sphere
QuickHull, 92, 36, 55, 26, 116, 20, 0.008847, In Sphere
QuickHull, 65, 30, 55, 19, 112, 17, 0.008458, In Sphere
QuickHull, 76, 34, 55, 22, 122, 19, 0.006359, In Sphere
QuickHull, 90, 36, 55, 26, 136, 20, 0.006700, In Sphere
QuickHull, 74, 30, 55, 22, 119, 17, 0.006697, In Sphere
QuickHull, 63, 30, 55, 19, 99, 17, 0.007297, In Sphere
QuickHull, 105, 42, 55, 26, 145, 23, 0.010701, In Sphere
QuickHull, 96, 28, 55, 24, 126, 16, 0.009204, In Sphere
QuickHull, 78, 30, 55, 23, 105, 17, 0.007710, In Sphere
QuickHull, 94, 38, 55, 25, 133, 21, 0.008461, In Sphere
QuickHull, 98, 32, 55, 26, 146, 18, 0.008643, In Sphere
QuickHull, 78, 32, 55, 22, 112, 18, 0.007543, In Sphere
QuickHull, 80, 30, 55, 23, 122, 17, 0.006174, In Sphere
QuickHull, 50, 22, 55, 17, 106, 13, 0.005421, In Sphere
QuickHull, 81, 36, 55, 22, 126, 20, 0.008296, In Sphere
QuickHull, 108, 40, 55, 27, 166, 22, 0.010137, In Sphere
QuickHull, 86, 40, 55, 23, 128, 22, 0.005593, In Sphere
QuickHull, 50, 26, 55, 16, 112, 15, 0.004983, In Sphere
QuickHull, 88, 30, 55, 22, 129, 17, 0.008097, In Sphere
QuickHull, 99, 36, 55, 26, 134, 20, 0.009207, In Sphere
QuickHull, 98, 36, 55, 25, 138, 20, 0.009410, In Sphere
QuickHull, 73, 32, 55, 21, 108, 18, 0.004089, In Sphere
QuickHull, 72, 30, 55, 21, 113, 17, 0.009222, In Sphere
QuickHull, 62, 28, 55, 19, 107, 16, 0.008120, In Sphere
QuickHull, 85, 34, 55, 24, 112, 19, 0.009115, In Sphere
QuickHull, 73, 28, 55, 19, 123, 16, 0.007262, In Sphere
QuickHull, 69, 26, 55, 19, 108, 15, 0.004816, In Sphere
QuickHull, 98, 40, 55, 24, 127, 22, 0.014024, In Sphere
QuickHull, 84, 32, 55, 24, 115, 18, 0.006583, In Sphere
QuickHull, 90, 38, 55, 24, 136, 21, 0.008844, In Sphere
QuickHull, 71, 26, 55, 20, 150, 15, 0.006896, In Sphere
QuickHull, 89, 36, 55, 25, 129, 20, 0.010478, In Sphere
QuickHull, 86, 30, 55, 25, 137, 17, 0.011031, In Sphere
QuickHull, 100, 32, 55, 28, 142, 18, 0.009980, In Sphere
QuickHull, 81, 32, 55, 23, 145, 18, 0.008656, In Sphere
QuickHull, 95, 32, 55, 27, 132, 18, 0.007813, In Sphere
QuickHull, 92, 32, 55, 24, 127, 18, 0.009698, In Sphere
QuickHull, 13162, 1734, 120000, 2518, 318441, 869, 4.118737, In Sphere
QuickHull, 13162, 1734, 120000, 2518, 318441, 869, 0.062857, In Sphere
QuickHull, 13162, 1734, 120000, 2518, 318441, 869, 0.067255, In Sphere
QuickHull, 6937, 2396, 1200, 1200, 7669, 1200, 0.007608, On Sphere
QuickHull, 72158, 23996, 12000, 12000, 87643, 12000, 0.315247, On Sphere
QuickHull, 72863, 24000, 12000, 12004, 95607, 11998, 0.315730, On Normalized Sphere
QuickHull, 72063, 23996, 12000, 12002, 94942, 11996, 0.319139, On Normalized Sphere
QuickHull, 3273, 544, 12000, 635, 30491, 274, 0.035512, In Sphere
QuickHull, 3170, 546, 12000, 623, 30607, 275, 0.033703, In Sphere
QuickHull, 3635, 572, 12000, 705, 32364, 288, 0.037925, In Sphere
QuickHull, 3323, 588, 12000, 643, 29033, 296, 0.034677, In Sphere
QuickHull, 21, 14, 12, 9, 19, 9, 0.000092, In Sphere
QuickHull, 24, 12, 12, 9, 22, 8, 0.000100, In Sphere
QuickHull, 734, 172, 1200, 151, 2943, 88, 0.004428, In Sphere
QuickHull, 811, 164, 1200, 162, 3144, 84, 0.004902, In Sphere
QuickHull, 820, 172, 1200, 168, 3243, 88, 0.005195, In Sphere
QuickHull, 897, 172, 1200, 177, 3304, 88, 0.005337, In Sphere
QuickHull, 12058, 1608, 100000, 2281, 255971, 806, 0.395961, In Sphere
QuickHull, 11980, 1596, 100000, 2303, 268100, 800, 0.391768, In Sphere
QuickHull, 3093, 520, 10000, 610, 23860, 262, 0.037185, In Sphere
QuickHull, 2933, 516, 10000, 586, 26312, 260, 0.037537, In Sphere
QuickHull, 2792, 532, 10000, 553, 27915, 268, 0.036409, In Sphere
QuickHull, 15326, 1912, 150000, 2910, 413057, 958, 0.680053, In Sphere
QuickHull, 14264, 2014, 150000, 2724, 431134, 1009, 0.610628, In Sphere
QuickHull, 15019, 2026, 150000, 2868, 405451, 1015, 0.599709, In Sphere
QuickHull, 14117, 1978, 150000, 2718, 345569, 991, 0.126200, In Sphere
QuickHull, 30793, 3846, 550000, 5855, 1430593, 1925, 0.819888, In Sphere
QuickHull, 31797, 3816, 550000, 6030, 1283991, 1910, 0.695057, In Sphere
QuickHull, 31213, 3762, 550000, 5932, 1360293, 1883, 1.411211, In Sphere
QuickHull, 32939, 3816, 550000, 6231, 1545644, 1910, 2.871618, In Sphere
QuickHull, 32773, 3876, 550000, 6218, 1420365, 1940, 2.986835, In Sphere
QuickHull, 32437, 3788, 550000, 6136, 1491279, 1896, 0.000000, In Sphere
QuickHull, 29663, 9996, 5000, 5000, 33519, 5000, 0.000000, On Sphere
QuickHull, 29398, 9996, 5000, 5000, 33574, 5000, 0.000000, On Sphere
QuickHull, 29905, 9996, 5000, 5000, 35981, 5000, 0.000000, On Sphere
QuickHull, 29665, 9996, 5000, 5000, 33551, 5000, 0.000000, On Sphere
QuickHull, 29717, 9996, 5000, 5000, 34983, 5000, 0.000000, On Sphere
QuickHull, 29788, 9996, 5000, 5000, 34236, 5000, 0.000000, On Sphere
QuickHull, 29659, 9996, 5000, 5000, 35166, 5000, 0.000000, On Sphere
QuickHull, 29567, 9996, 5000, 5000, 34293, 5000, 0.000000, On Sphere
QuickHull, 29849, 9996, 5000, 5000, 34317, 5000, 0.000000, On Sphere
QuickHull, 29709, 9996, 5000, 5000, 34224, 5000, 0.000000, On Sphere
QuickHull, 29746, 9996, 5000, 5000, 34868, 5000, 0.000000, On Sphere
QuickHull, 29777, 9996, 5000, 5000, 35764, 5000, 0.000000, On Sphere
QuickHull, 29647, 9996, 5000, 5000, 33580, 5000, 0.000000, On Sphere
QuickHull, 29795, 9996, 5000, 5000, 34918, 5000, 0.000000, On Sphere
QuickHull, 29500, 9996, 5000, 5000, 33737, 5000, 0.000000, On Sphere
QuickHull, 29564, 9996, 5000, 5000, 35032, 5000, 0.000000, On Sphere
QuickHull, 29753, 9996, 5000, 5000, 33942, 5000, 0.000000, On Sphere
QuickHull, 29774, 9996, 5000, 5000, 34424, 5000, 0.000000, On Sphere
QuickHull, 29923, 9996, 5000, 5000, 36798, 5000, 0.000000, On Sphere
QuickHull, 29621, 9996, 5000, 5000, 33636, 5000, 0.000000, On Sphere
QuickHull, 303326, 100004, 50000, 50004, 401219, 50000, 0.000000, On Sphere
QuickHull, 303243, 100004, 50000, 50007, 408736, 49998, 0.000000, On Sphere
QuickHull, 302673, 99966, 50000, 50003, 435487, 49928, 0.000000, On Normalized Sphere
QuickHull, 7466, 1154, 50000, 1454, 123756, 579, 0.000000, In Sphere
QuickHull, 8394, 1146, 50000, 1596, 129336, 575, 0.000000, In Sphere
QuickHull, 8281, 1204, 50000, 1586, 137955, 604, 0.000000, In Sphere
QuickHull, 8243, 1106, 50000, 1603, 137341, 555, 0.000000, In Sphere
QuickHull, 8676, 1170, 50000, 1671, 128147, 587, 0.000000, In Sphere
QuickHull, 8222, 1118, 50000, 1612, 123678, 561, 0.000000, In Sphere
QuickHull, 7938, 1174, 50000, 1537, 138351, 589, 0.000000, In Sphere
QuickHull, 7789, 1148, 50000, 1506, 126391, 576, 0.000000, In Sphere
QuickHull, 8624, 1136, 50000, 1633, 137020, 570, 0.000000, In Sphere
QuickHull, 8061, 1130, 50000, 1551, 125301, 567, 0.000000, In Sphere
QuickHull, 8596, 1210, 50000, 1638, 132985, 607, 0.000000, In Sphere
QuickHull, 8327, 1194, 50000, 1584, 126208, 599, 0.000000, In Sphere
QuickHull, 8213, 1122, 50000, 1568, 122564, 563, 0.000000, In Sphere
QuickHull, 7913, 1160, 50000, 1534, 132972, 582, 0.000000, In Sphere
QuickHull, 8081, 1202, 50000, 1567, 131438, 603, 0.000000, In Sphere
QuickHull, 8280, 1158, 50000, 1590, 133474, 581, 0.000000, In Sphere
QuickHull, 7921, 1178, 50000, 1532, 127097, 591, 0.000000, In Sphere
QuickHull, 32098, 3602, 500000, 6100, 1287689, 1805, 0.000000, In Sphere
QuickHull, 32688, 3624, 500000, 6152, 1249020, 1814, 0.000000, In Sphere
QuickHull, 30864, 3572, 500000, 5877, 1272122, 1788, 0.000000, In Sphere
QuickHull, 28450, 3658, 500000, 5455, 1254416, 1831, 0.000000, In Sphere
